Air_Flow_Rate_m3h,Reagent_Dosage_gh,Pulp_Density_pct,Froth_Depth_cm,pH_Level,Agitator_Power_kW
149.9354442836079,47.321942477987115,33.302529508594375,25.321620136886477,8.402758425846127,201.61346013227768
150.51842643617277,43.68289201101374,35.450095560533626,23.93557544961729,8.577751923956615,198.3310438691598
151.30090080375945,40.80929160045123,33.46374826049661,23.884226882940386,8.572163283313346,206.03037476236813
150.31874488681717,43.41021656947053,33.68865255778955,23.388418051003264,8.463107732463184,200.76293100855946
152.5213285736825,46.059081648486966,34.133444604822884,25.460847245741316,8.395949468013761,202.46507426477007
149.95811610091206,44.174042688420585,33.16297985534095,24.249695201837504,8.70544969564738,204.28981391918046
149.39729036580025,45.64460678667339,34.15313112625624,23.252287914406892,8.470871876681,203.3043016264372
150.1486969049102,45.19446650528727,33.76856117670296,25.275276171948242,8.67435351534918,208.04958706698963
152.54664848612967,41.688841847169776,34.40834467390548,27.291657309866547,8.34214355486537,203.95524232227862
149.29234849756878,45.227326955965054,33.867482627031976,24.575010201876896,8.567367808220434,197.87435649803828
153.6804100970871,47.54893183142369,34.557286106443314,24.890267390600325,8.591822078185633,203.9750446565304
153.5444250114657,43.84862158052482,34.19980710212323,24.953919300643083,8.461273964506521,190.78422611176336
153.1566986143066,44.87566874864017,34.37488710314181,24.94072612288009,8.391195169710196,203.83583662320027
151.41516519772674,43.942641724026934,33.86607986879359,26.052290022157102,8.575336471974635,193.0452136606088
150.4802446657836,45.258463562650626,34.47029584104311,25.707473339476138,8.25384899889504,196.72295950131112
152.66548315914386,45.22071462824034,34.17276422853205,25.72018062769536,8.660557022599672,199.29666082788063
151.96197149102653,44.475630381470296,33.91571079822542,25.495475473137567,8.516310597917402,201.3091453182741
155.5837838057309,44.4754752644687,34.82553630398815,23.448961956494095,8.391365093593967,199.3432660567221
154.60660489420462,44.35001916226922,33.69814436667758,26.125058230278565,8.540995050294837,199.40379592029558
151.97060764792934,44.77509507075421,34.370120894542055,25.082110028299816,8.579347675793423,193.13837107311693
156.00671314134635,45.30315789389817,33.55192299688884,25.660129865689832,8.57167176986156,196.5801409615261
154.3904396685687,43.442583630687196,33.47743888037432,29.05958100476143,8.370798906998841,187.70588970547107
153.74962685477914,42.55500340310435,33.63065608060684,26.01230430710686,8.454210907329376,189.41229103263512
